,business_code,cust_number,name_customer,clear_date,buisness_year,document_create_date.1,due_in_date,invoice_currency,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,delay,notes
0,U001,0200769623,WAL-MAR in,2020-03-14,2020.0,2020-02-27,2020-03-13,USD,63313.93,2020-02-27,NAH4,1930573770.0,1,,0-15days
1,U001,0200763814,SYSCO F systems,2020-03-29,2020.0,2020-02-27,2020-03-30,USD,49884.0,2020-02-27,NA32,1930578890.0,1,,0-15days
2,U001,0200761734,H E BUT in,2020-03-12,2020.0,2020-02-27,2020-03-13,USD,94461.58,2020-02-27,NAA8,1930576422.0,1,,0-15days
3,U001,0200759878,SA systems,2020-03-15,2020.0,2020-02-27,2020-03-13,USD,35147.5,2020-02-27,NAH4,1930568860.0,1,,0-15days
4,U001,0200762301,C&S WH foundation,2020-03-13,2020.0,2020-02-27,2020-03-13,USD,24145.01,2020-02-27,NAC6,1930571766.0,1,,0-15days
5,U001,0200769623,WAL-MAR us,2020-03-15,2020.0,2020-02-27,2020-03-13,USD,5744.27,2020-02-27,NAH4,1930571253.0,1,,0-15days
6,U001,0200748108,KROGER us,2020-03-12,2020.0,2020-02-27,2020-03-13,USD,82144.32,2020-02-27,NAA8,1930576155.0,1,,0-15days
7,U001,0200706844,WINC llc,2020-03-13,2020.0,2020-02-27,2020-03-13,USD,6815.23,2020-02-27,NAA8,1930567335.0,1,,0-15days
8,U001,0200253680,SCHWANS systems,2020-03-13,2020.0,2020-02-27,2020-03-13,USD,55075.68,2020-02-27,NAA8,1930577594.0,1,,0-15days
9,U001,0200759878,SA systems,2020-03-15,2020.0,2020-02-27,2020-03-13,USD,13042.11,2020-02-27,NAH4,1930566647.0,1,,0-15days
10,U001,0200759878,SA foundation,2020-03-15,2020.0,2020-02-27,2020-03-13,USD,14235.87,2020-02-27,NAH4,1930571061.0,1,,0-15days
11,U001,0200782669,SYGMA us,2020-03-19,2020.0,2020-02-27,2020-03-18,USD,1956.4,2020-02-27,NAD1,1930560957.0,1,,0-15days
